size\stride	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
128m	111744	111738	111748	111748	111742	111750	111736	111730	111742	111722	111735	111754	111686	111700	111727	111742	
64m	111745	111738	111739	111748	111723	111740	111731	111746	111709	111696	111709	111689	111692	111748	111755	111721	
32m	111745	111736	111723	111751	111697	111729	111697	111730	111559	111766	111528	111604	111721	111764	111694	111693	
16m	111740	111678	111695	111725	111550	111778	111654	111695	111671	111580	111709	111679	111558	111619	111547	111444	
8m	111737	111702	111575	111750	111705	111621	111577	111623	111569	111410	111359	111297	111320	111171	111221	111206	
4m	111729	111755	111736	111650	111470	111503	111176	111072	111247	110827	111037	110647	110615	110790	110405	110514	
2m	111631	111555	111474	111120	111129	110519	110931	110650	110132	110119	110008	109952	109515	109168	109004	109653	
1024k	111665	111171	111049	110495	109994	109754	109901	109470	108731	108642	108006	107970	108382	107236	107190	107421	
512k	111475	110551	109883	109588	109168	108354	107322	106919	105455	105320	105269	104982	105966	102692	102558	101479	
256k	110983	109828	108876	107447	106295	104362	105299	103372	102369	102499	102499	101603	99138	96941	94802	94230	
128k	110309	108407	105881	105266	103272	98483	99867	99143	90780	93579	93847	92358	84967	82989	89525	87948	
64k	108337	104063	99143	98190	95656	92935	83888	85201	85917	74218	79470	79018	66760	64449	67129	71309	
32k	105951	98069	87007	88519	81125	72878	69893	71732	68716	59769	54084	50779	54500	48836	46970	54968	
16k	101231	90877	74340	76856	56788	59948	58244	45430	42925	71723	37443	59242	54500	50423	58660	47071	
8k	79258	75717	65947	45633	81125	77381	71481	52420	60033	23388	44250	49369	40812	37817	31996	32949	
4k	85203	56788	35248	52152	63098	46429	18721	13105	29954	26834	24338	22216	20344	20940	21997	20593	
2k	59444	85119	39267	36444	31479	23214	21772	9430	16641	16693	15133	12342	12637	10401	9707	10297	
1k	41227	42560	25461	20247	17629	12897	12169	10609	9361	7350	7489	6864	5547	5772	4854	5148	
