Clock frequency is approx. 2495.6 MHz
Memory mountain (MB/sec)
	s1	s3	s5	s7	s9	s11	s13	s15	s17	s19	s21	s23	s25	s27	s29	s31	
128m	7702	6710	5248	4044	3259	2720	2323	1987	1775	1635	1477	1377	1280	1192	1114	1056	
64m	7696	6722	5235	4050	3219	2713	2319	1990	1793	1707	1557	1469	1337	1218	1145	1083	
32m	7671	6687	5508	4354	3555	2995	2570	2242	2038	1919	1787	1674	1620	1463	1366	1268	
16m	7774	6738	5571	4749	4281	3898	3556	3234	2889	2690	2480	2357	2191	2157	2037	2027	
8m	8245	8083	7208	6898	6579	6316	5934	5510	5266	5055	4830	4546	4368	4146	4001	3847	
4m	8255	8080	7162	6884	6594	6268	5913	5537	5268	5056	4770	4506	4300	4063	4003	3872	
2m	8259	8089	7230	6956	6633	6361	5984	5621	5348	5118	4859	4612	4430	4212	4079	3940	
1024k	8259	8090	7226	6969	6650	6408	6032	5702	5408	5267	5003	4807	4566	4400	4295	4176	
512k	8263	8114	7321	7103	6854	6655	6418	6219	6096	6074	5996	5900	5866	5877	5793	5670	
256k	8271	8141	7411	7239	7037	6890	6733	6574	6520	6494	6539	6494	6420	6461	6467	6410	
128k	8262	8107	7400	7260	7043	6893	6778	6620	6545	6438	6616	6682	6799	6745	7022	6764	
64k	8297	8230	8097	8084	8047	7941	7882	7844	7847	7853	7786	7762	7677	7726	7702	7494	
32k	8312	8205	8120	8023	7913	7823	7726	7634	7609	7496	7346	7404	7297	7208	7115	7053	
16k	8270	8074	7892	7725	7470	7373	7279	7097	7027	6851	6806	6581	6539	6354	6284	6100	
8k	8152	7777	7570	7122	6924	6584	6444	6251	6002	5783	7157	7404	7286	7002	6900	6863	
4k	8011	7342	6768	6403	6040	7368	6551	5010	6655	6543	6759	6003	6163	5888	6067	6335	
2k	7721	6754	7188	7287	6909	6108	5937	5143	5163	5341	5502	4828	4594	4679	4853	4575	
1k	7260	7212	6364	6073	5222	4463	4635	4991	4159	3481	3523	3660	3120	2716	2730	2422	
